"Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
"January 24, 2019",Georgia,Rockmart,"319 Williamson St",4,1,N/A
"January 23, 2019",Florida,Sebring,"1901 US 27 S",5,0,N/A
"January 20, 2019",Florida,Miami,"26133 SW 139th Ave",0,4,N/A
"January 19, 2019",Pennsylvania,Lebanon,"1140 Church St",0,4,N/A
"January 19, 2019",Texas,Houston,"7041 Sherman St",3,2,N/A
"January 19, 2019","South Carolina",Gaffney,"1435 Wilcox Ave",1,4,N/A
"January 19, 2019",Illinois,Chicago,"4400 block of W Madison St",0,4,N/A
"January 19, 2019",Florida,Jacksonville,"11445 Brian Lakes Drive",3,2,N/A
"January 17, 2019",Kentucky,Owensboro,"940 Audubon Ave",3,1,N/A
"January 16, 2019",Florida,Jacksonville,"Emerson St and Spring Park Rd",1,5,N/A
"January 16, 2019",California,Palmdale,"Ranch Center Dr and 40th St W",3,1,N/A
"January 15, 2019",Arkansas,"Little Rock","5420 Baseline Rd",1,4,N/A
"January 13, 2019",Arizona,Phoenix,"2445 E Van Buren St",1,5,N/A
"January 6, 2019","New Mexico",Roswell,"1300 block of W College Blvd",0,4,N/A
"January 4, 2019",Virginia,Hurt,"3197 Shula Dr",3,2,N/A
"January 4, 2019",California,Torrance,"22501 Hawthorne Blvd",3,4,N/A
"January 3, 2019",Arizona,Yuma,"3800 block of E. County 18½ St",1,3,N/A
"January 2, 2019",Arkansas,Jonesboro,"3516 Galaxy St",1,3,N/A
"January 1, 2019","South Carolina",Columbia,"1709 Decker Blvd",0,5,N/A
"January 1, 2019",Florida,Tallahassee,"2020 W Pensacola St",0,5,N/A
